video_id,view_count,like_count,dislike_count,comment_count
7tZXp8tWcoc,235,1,0,0
iUzFs6GEU9c,159075,6283,0,854
VIgRmy85aUI,44008,834,0,108
wCRSbToAQB8,43,0,0,0
mt22_ozJKo8,66807,471,0,103
v8O-gC6OBCA,214437,3341,0,136
gtsli5h3ZiE,605182,5863,0,209
kQ22RsF9_m8,11214,79,0,10
pPk7eD0pPQ0,5778,97,0,10
jH6J0QCvIFE,116,0,0,0
7U6ToM0voUk,58063,302,0,3
KJaKMANiZdI,38843,321,0,60
GMxYN8VtpZ8,31910,428,0,68
g1GclV8VtDw,96,0,0,0
lQ9wRBuBvLs,176,2,0,0
RddVuzQBByE,47095,63,0,2
8oetW7qN_7g,48,0,0,0
jVVg6jIttP8,49,1,0,0
HJ_316wNT7U,77,0,0,0
-eP0AoVSdb0,642991,1224,0,59
urj4S5leiZs,602,4,0,4
gR6WcS1cViw,2819,16,0,1
bW8GS-8yZLA,10,0,0,0
Fh93bbU8D7I,398,4,0,0
jpx0O4KFCwY,19301,176,0,9
_kFl5EFB3Yk,31312,930,0,62
1OcOEolAc1Q,280897,3310,0,94
rMkTNHFeiTs,5211,46,0,4
KaRvLdznhCc,36327,589,0,36
-2zP0_SwnLA,33503,276,0,27
vVd58qKRHws,211535,1419,0,94
8WLBmX4FzgE,217,0,0,0
kTGGc8hgPds,118448,874,0,59
mMgIkSVy6s4,96,1,0,0
UpY43w3phvA,4347732,137935,0,36
KqgL3d5WdlU,6032,36,0,2
xFUgt4mBuzg,1568,28,0,1
sl5GU-x_T_4,400,3,0,0
ZpGwE8iTZgM,7238,83,0,25
d1Ha7H7RB4I,96727,949,0,70
kgmYABkdR0s,3888,49,0,4
AngK6pt1PRU,46623,812,0,82
RFPl5hEIYXk,162,0,0,0
JXu58xpo5_E,28434,313,0,53
lFkBx29fc4c,83,1,0,0
2jyjo_Hua34,535939,3312,0,370
KlBswP7tuHU,16746,251,0,45
kq5jOaMbgx8,207387,722,0,32
1R3YmHRPkHQ,67,1,0,0
uEUkiR_Z_64,884277,27548,0,381
1belbaDqPvI,32,0,0,0
yeuoHUun0-4,44,0,0,0
6gT1ONaSI6M,7615,189,0,21
damfxOg8V2s,126,1,0,0
HSPlkhLsUDE,41,1,0,0
3By1vkMk-YM,21847,163,0,22
ro_3BEvesLs,40,0,0,0
yJiizoBxguU,22047,197,0,38
4N4OYQQw5TA,329,0,0,0
rMDPeTjLauE,27,0,0,0
HpoySYJIqfI,46027,374,0,41
zUBrDPd7RYU,24,0,0,0
tQ1mnwpeB1M,310791,4426,0,608
aEZdR3Srx6o,584147,5739,0,131
IGLBWUYBxp8,33092,184,0,2
uFSQLfh3eEc,1660066,80139,0,309
VaPn6X5lAo0,93500,1326,0,227
sFgGEsaMKl4,141431,1606,0,51
6b_b3v2jluY,26356,229,0,20
tfiBtofLAGM,98,0,0,1
d9swXF1eaXY,24097,312,0,27
daj4M5q7jzs,1136,26,0,19
l2fdH0dOdZA,132345,1426,0,42
g_9WyoRDmCU,85,0,0,0
8TQUMWdJAd0,535,3,0,0
wsrAuMSaMP0,139,1,0,0
